year,quarter,date,entity,assets,credit_loss_allowances,res_mortgages_open,other_adj_equity,fiduciary_activities,total_nii,tr_comm,investment_banking_fees,FI01650,res_mortgages_closed,net_servicing_fees,insurcance_commissions,ng_other_assets,net_sec_income,ng_other_real_estate,rent_other_real_estate,total_tr,check_printing_fees,earnings_life_insurance,atm_fees,safe_deposit_rent,service_charges,net_change_fair_value,card_interchange_fees,vc_rev,tr_int_rt_exp,tr_foreign_ex,tr_credit,tr_equity,ng_sale_loans,ng_credit_deriv,sale_mutual_funds,ng_assets_fv,other_nii,name,rssd9002,ID_RSSD,D_DT_START,D_DT_END,NM_SHORT,DOMESTIC_IND,rank
1990,3,90Q3,1248612,29339060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248612,1248612,1248612,5/1/1989,4/12/1991,FIRST FIDELITY BC,Y,23
1990,3,90Q3,1068762,29337292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068762,1068762,1068762,6/2/1990,12/31/1990,MELLON BC,Y,24
1990,3,90Q3,1073364,27324377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073364,1075274,1073364,6/30/1990,1/28/1991,MNC FNCL,Y,25
1990,4,90Q4,1042351,216986000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042351,1042351,1042351,10/6/1990,12/31/1990,CITICORP,Y,1
1990,4,90Q4,1026016,110728000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026016,1026016,1026016,9/8/1990,2/18/1991,BANKAMERICA CORP,Y,2
1990,4,90Q4,1040795,98064421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040795,1040795,1040795,1/1/1990,8/9/1991,CHASE MANHATTAN CORP,Y,3
1990,4,90Q4,1037115,93103154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037115,1037115,1037115,12/21/1981,6/7/1991,J P MORGAN & CO,Y,4
1990,4,90Q4,1024526,88021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024526,1024526,1024526,8/27/1990,3/7/1991,SECURITY PACIFIC CORP,Y,5
1990,4,90Q4,1039502,73019000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039502,1039502,1039502,8/13/1990,4/14/1991,CHEMICAL BKG CORP,Y,6
1990,4,90Q4,1073757,65284515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073757,1073757,1073757,8/27/1990,12/30/1991,NCNB CORP,Y,7
1990,4,90Q4,1032473,63596000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032473,1032473,1032473,10/7/1985,4/29/1997,BANKERS TR NY CORP,Y,8
1990,4,90Q4,1035296,61530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035296,1035296,1035296,6/1/1987,12/30/1991,MANUFACTURERS HAN CORP,Y,9
1990,4,90Q4,1027095,56198531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027095,1027095,1027095,12/31/1970,6/7/1995,WELLS FARGO & CO,Y,10
1990,4,90Q4,1831715,51366579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831715,1831715,1831715,12/10/1990,2/28/1991,C&S/SOVRAN CORP,Y,11
1990,4,90Q4,1023538,51356452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023538,1023538,1023538,7/1/1990,5/15/1991,FIRST INTRST BC,Y,12
1990,4,90Q4,1201028,50779000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201028,1201028,1201028,9/14/1990,7/31/1991,FIRST CHICAGO CORP,Y,13
1990,4,90Q4,1069778,45674409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069778,1069778,1069778,11/16/1990,12/31/1990,PNC FNCL CORP,Y,14
1990,4,90Q4,1033470,45389851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033470,1033470,1033470,10/7/1989,8/10/1993,BANK OF NY CO,Y,15
1990,4,90Q4,1068294,43632843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068294,1068294,1068294,8/18/1990,2/27/1991,BANC ONE CORP,Y,16
1990,4,90Q4,1073551,40780723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073551,1073551,1073551,6/30/1990,12/2/1992,FIRST UNION CORP,Y,17
1990,4,90Q4,1131787,33411094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131787,1131787,1131787,12/7/1990,2/14/1991,SUNTRUST BANKS,Y,18
